source,target,value
aries,fire,70
aries,earth,0
aries,air,0
aries,water,0
leo,fire,50
leo,earth,0
leo,air,0
leo,water,0
sagittarius,fire,30
sagittarius,earth,0
sagittarius,air,0
sagittarius,water,0
aries,independent,35
aries,passionate,34
aries,impulsive,16
aries,career-minded,8
aries,worldly,6
aries,feeling,0
aries,caring,0
aries,thinker,0
aries,realist,0
aries,secretive,0
aries,BFF-material,0
aries,luxurious,0
aries,homebody,0.61
aries,social,0
aries,harmonious,0
leo,BFF-material,16
leo,caring,14
leo,social,14
leo,thinker,12
leo,harmonious,10
leo,independent,7
leo,passionate,7
leo,impulsive,0
leo,career-minded,0
leo,worldly,0
leo,feeling,0
leo,realist,0
leo,secretive,0
leo,luxurious,0
leo,homebody,0
sagittarius,thinker,23
sagittarius,independent,20
sagittarius,BFF-material,17
sagittarius,worldly,11
sagittarius,career-minded,8
sagittarius,passionate,7
sagittarius,caring,0
sagittarius,social,0
sagittarius,harmonious,0
sagittarius,impulsive,0
sagittarius,feeling,0
sagittarius,realist,0
sagittarius,secretive,0
sagittarius,luxurious,0
sagittarius,homebody,0
taurus,earth,50
taurus,fire,0
taurus,air,0
taurus,water,0
virgo,earth,30
virgo,fire,0
virgo,air,0
virgo,water,0
capricorn,earth,50
capricorn,fire,0
capricorn,air,0
capricorn,water,0
taurus,luxurious,33
taurus,passionate,29
taurus,realist,29
taurus,BFF-material,10
taurus,worldly,10
taurus,harmonious,8
taurus,career-minded,6
taurus,feeling,6
taurus,thinker,0
taurus,independent,0
taurus,caring,0
taurus,social,0
taurus,impulsive,0
taurus,secretive,0
taurus,homebody,0
virgo,thinker,42
virgo,realist,13
virgo,career-minded,12
virgo,caring,11
virgo,harmonious,7
virgo,luxurious,0
virgo,passionate,0
virgo,BFF-material,0
virgo,worldly,0
virgo,feeling,0
virgo,independent,0
virgo,social,0
virgo,impulsive,0
virgo,secretive,0
virgo,homebody,0
capricorn,career-minded,42
capricorn,feeling,11
capricorn,BFF-material,9
capricorn,worldly,8
capricorn,thinker,0
capricorn,realist,0
capricorn,caring,0
capricorn,harmonious,0
capricorn,luxurious,0
capricorn,passionate,0
capricorn,independent,0
capricorn,social,0
capricorn,impulsive,0
capricorn,secretive,0
capricorn,homebody,0
gemini,air,30
gemini,fire,0
gemini,earth,0
gemini,water,0
libra,air,70
libra,fire,0
libra,earth,0
libra,water,0
aquarius,air,50
aquarius,fire,0
aquarius,earth,0
aquarius,water,0
gemini,thinker,55
gemini,social,22
gemini,BFF-material,20
gemini,impulsive,18
gemini,worldly,13
gemini,harmonious,8
gemini,feeling,7
gemini,career-minded,0
gemini,realist,0
gemini,caring,0
gemini,luxurious,0
gemini,passionate,0
gemini,independent,0
gemini,secretive,0
gemini,homebody,0
libra,harmonious,59
libra,luxurious,24
libra,BFF-material,18
libra,passionate,11
libra,social,9
libra,feeling,8
libra,thinker,0
libra,impulsive,0
libra,worldly,0
libra,career-minded,0
libra,realist,0
libra,caring,0
libra,independent,0
libra,secretive,0
libra,homebody,0
aquarius,thinker,56
aquarius,social,23
aquarius,feeling,15
aquarius,caring,7
aquarius,harmonious,0
aquarius,luxurious,0
aquarius,BFF-material,0
aquarius,passionate,0
aquarius,impulsive,0
aquarius,worldly,0
aquarius,career-minded,0
aquarius,realist,0
aquarius,independent,0
aquarius,secretive,0
aquarius,homebody,0
cancer,water,70
cancer,fire,0
cancer,earth,0
cancer,air,0
scorpio,water,50
scorpio,fire,0
scorpio,earth,0
scorpio,air,0
pisces,water,30
pisces,fire,0
pisces,earth,0
pisces,air,0
cancer,feeling,72
cancer,homebody,40
cancer,caring,21
cancer,BFF-material,18
cancer,passionate,7
cancer,thinker,0
cancer,social,0
cancer,harmonious,0
cancer,luxurious,0
cancer,impulsive,0
cancer,worldly,0
cancer,career-minded,0
cancer,realist,0
cancer,independent,0
cancer,secretive,0
scorpio,feeling,28
scorpio,passionate,22
scorpio,career-minded,19
scorpio,secretive,15
scorpio,BFF-material,13
scorpio,luxurious,11
scorpio,homebody,0
scorpio,caring,0
scorpio,thinker,0
scorpio,social,0
scorpio,harmonious,0
scorpio,impulsive,0
scorpio,worldly,0
scorpio,realist,0
scorpio,independent,0
pisces,feeling,30
pisces,caring,14
pisces,thinker,14
pisces,realist,10
pisces,worldly,9
pisces,passionate,0
pisces,career-minded,0
pisces,secretive,0
pisces,BFF-material,0
pisces,luxurious,0
pisces,homebody,0
pisces,social,0
pisces,harmonious,0
pisces,impulsive,0
pisces,independent,0
